latitude,longitude
37.788048,-122.40284
\N,\N
37.754337,-122.40546
37.7738,-122.49825
37.765182,-122.41749
37.72949,-122.3814
37.763382,-122.40437
37.759556,-122.43042
37.763515,-122.47819
37.763515,-122.47819
37.71646,-122.44102
37.797924,-122.42892
37.758583,-122.41984
37.766956,-122.38816
37.78456,-122.40733
37.781235,-122.44134
37.776978,-122.42969
37.776016,-122.44478
37.79737,-122.42206
37.761154,-122.43057
37.78496,-122.41955
37.785564,-122.42978
37.784046,-122.40371
37.752373,-122.41627
37.78641,-122.408035
37.7409,-122.384705
37.770214,-122.437805
37.732433,-122.39152
\N,\N
37.791206,-122.44448
37.768272,-122.41998
37.765606,-122.410484
37.729355,-122.38942
37.796417,-122.403496
37.737785,-122.39594
37.781326,-122.49987
37.762035,-122.41608
\N,\N
37.775875,-122.40894
37.79849,-122.435776
37.78641,-122.408035
37.78641,-122.408035
37.774277,-122.43594
37.725624,-122.384384
37.763657,-122.47498
37.76442,-122.430115
37.757874,-122.478874
37.790264,-122.40797
37.77966,-122.40929
37.739277,-122.400246
37.7807,-122.395065
\N,\N
37.718834,-122.39748
\N,\N
37.763573,-122.417336
37.75227,-122.41788
37.785378,-122.41626
37.788597,-122.41354
37.769043,-122.43755
37.795162,-122.39915
37.79635,-122.39696
37.75217,-122.419556
37.805695,-122.40536
37.776688,-122.424515
\N,\N
37.784657,-122.41443
37.78107,-122.46321
37.78618,-122.44006
37.777775,-122.41601
37.794777,-122.41647
37.72576,-122.43398
37.785492,-122.40785
37.758087,-122.42805
\N,\N
37.738853,-122.48614
37.799488,-122.40901
37.762974,-122.41121
37.749775,-122.471016
37.724136,-122.457344
37.78891,-122.418655
37.748405,-122.40788
37.76208,-122.430664
37.728058,-122.40706
37.77966,-122.40929
\N,\N
37.77987,-122.43707
37.79503,-122.421585
37.771057,-122.438705
37.77516,-122.40363
\N,\N
37.758762,-122.41687
\N,\N
37.745594,-122.41988
37.71501,-122.47299
\N,\N
37.786633,-122.399506
37.783516,-122.415886
37.783516,-122.415886
37.72698,-122.39357
37.734978,-122.38313
\N,\N
37.768406,-122.4178
